sensor,x,y,z,t_ms
acc,-0.039,0.0039,0.9062,722.60
acc,-0.039,0.0039,0.9062,723.50
comp,358.8,-34.96,646.76,726.89
acc,-0.031,-0.039,0.8789,727.83
acc,-0.042,-0.039,0.9023,728.75
acc,-0.042,-0.039,0.9023,729.66
acc,-0.031,-0.015,0.8281,730.57
gyr,-5,65,6,732.27
acc,-0.027,-0.027,0.8867,733.20
acc,-0.039,-0.031,0.9609,734.12
acc,-0.027,-0.007,0.9375,735.03
acc,-0.031,0.0,0.9687,735.94
gyr,-3,66,7,738.37
acc,-0.042,-0.031,0.8671,739.33
acc,-0.039,0.0039,0.8906,740.25
acc,-0.039,0.0312,0.9140,741.17
acc,-0.027,-0.011,0.8945,742.08
acc,-0.027,-0.011,0.8945,745.30
comp,358.8,-34.96,646.76,748.76
acc,-0.035,-0.031,0.8867,749.73
acc,-0.042,-0.015,0.8710,750.77
acc,-0.042,-0.031,0.8632,751.70
acc,-0.042,-0.031,0.8632,752.63
gyr,-5,63,8,754.22
acc,-0.027,-0.015,0.8710,755.13
acc,-0.039,-0.039,0.8906,756.65
acc,-0.035,-0.042,0.8632,757.61
acc,-0.035,-0.042,0.8632,758.55
gyr,-6,62,6,760.19
acc,-0.031,-0.042,0.8945,761.15
acc,-0.031,0.0,0.8789,762.18
acc,-0.023,-0.019,0.9101,763.10
acc,-0.046,-0.015,0.8984,764.02
acc,-0.035,0.0,0.8671,764.93
comp,358.8,-34.96,646.76,768.70
acc,-0.039,-0.039,0.8671,769.65
acc,-0.042,-0.027,0.9257,770.57
acc,-0.019,-0.015,0.9492,771.48
acc,-0.031,-0.035,0.9140,772.39
gyr,-8,66,3,774.26
acc,-0.039,-0.031,0.875,775.19
acc,-0.042,0.0078,0.8945,776.11
acc,-0.042,-0.023,0.8789,777.02
acc,-0.042,-0.023,0.8789,777.93
gyr,-5,62,8,779.72
acc,-0.035,-0.035,0.9062,780.70
acc,-0.035,-0.035,0.9062,781.63
acc,-0.035,-0.054,0.9140,782.54
acc,-0.078,-0.058,0.9062,783.44
acc,-0.089,-0.062,0.8828,784.36
comp,357.88,-34.96,642.16,787.76
acc,-0.039,-0.031,0.8867,788.70
acc,-0.035,-0.039,0.8632,789.62
acc,-0.023,-0.027,0.9101,790.53
acc,-0.023,-0.027,0.9101,791.44
gyr,-8,63,1,793.64
acc,-0.031,-0.023,0.8710,799.02
acc,-0.031,-0.023,0.8710,799.95
acc,-0.035,0.0,0.8906,800.86
acc,-0.007,-0.023,0.875,801.77
gyr,-6,64,5,803.48
acc,-0.035,-0.031,0.8984,804.42
acc,-0.027,0.0234,0.8867,805.34
acc,-0.042,0.0117,0.8710,806.25
acc,-0.042,0.0117,0.8710,807.16
acc,-0.031,-0.046,0.8906,808.07
comp,357.88,-34.96,642.16,811.46
acc,-0.039,-0.042,0.875,812.38
acc,-0.039,-0.042,0.875,813.30
acc,-0.027,-0.035,0.8828,814.21
acc,0.0117,0.0234,0.8789,815.12
gyr,-6,63,0,816.80
acc,-0.031,-0.050,0.8789,817.73
acc,-0.027,-0.011,0.8867,818.66
acc,-0.031,-0.046,0.8789,819.56
acc,-0.031,-0.046,0.8789,820.47
gyr,-7,64,5,822.16
acc,-0.031,-0.031,0.875,823.09
acc,-0.039,-0.019,0.8554,824.01
acc,0.0,-0.031,0.8789,824.92
acc,-0.007,-0.023,0.8789,825.83
acc,-0.007,-0.023,0.8789,826.74
comp,357.88,-34.96,642.16,831.11
acc,-0.031,-0.031,0.8671,832.06
acc,-0.027,-0.019,0.875,832.99
acc,-0.027,-0.019,0.875,833.91
acc,-0.058,-0.035,0.8828,834.82
gyr,-6,64,3,836.51
acc,-0.015,-0.035,0.875,837.43
acc,-0.062,-0.039,0.875,838.35
acc,-0.019,-0.015,0.7929,839.26
acc,-0.035,0.0117,0.8867,840.17
gyr,-7,65,2,841.85
acc,-0.035,-0.035,0.8710,842.79
acc,-0.035,-0.035,0.8710,843.71
acc,-0.019,-0.066,0.8984,844.62
acc,-0.015,-0.074,0.8984,845.53
acc,-0.007,-0.007,0.9062,846.44
comp,356.96,-33.12,642.16,850.42
acc,-0.035,-0.027,0.875,851.37
acc,-0.054,0.0429,0.8320,852.31
acc,-0.054,0.0429,0.8320,853.24
acc,-0.027,-0.027,0.8632,854.16
gyr,-8,64,5,855.90
acc,-0.031,-0.023,0.8710,856.83
acc,-0.050,-0.031,0.9023,857.77
acc,-0.031,-0.023,0.8593,858.68
acc,-0.054,-0.023,0.8671,859.59
gyr,-4,63,2,861.30
acc,-0.035,-0.019,0.8593,862.22
acc,-0.035,-0.019,0.8593,863.14
acc,-0.062,-0.027,0.9570,864.05
acc,0.0078,-0.031,0.9218,864.96
acc,-0.046,0.0,0.9062,865.87
comp,356.96,-33.12,642.16,869.25
acc,-0.035,-0.023,0.8789,870.17
acc,0.0078,-0.039,0.9062,871.09
acc,0.0156,-0.015,0.8046,872.00
acc,-0.011,-0.007,0.8554,872.91
gyr,-6,64,9,875.36
acc,-0.042,-0.031,0.875,876.31
acc,-0.015,-0.023,0.8515,877.26
acc,-0.023,-0.027,0.8710,878.19
acc,-0.019,-0.031,0.8945,879.10
gyr,-3,61,5,880.80
acc,-0.039,-0.046,0.8828,881.72
acc,-0.015,0.0078,0.8867,882.64
acc,-0.015,0.0078,0.8867,883.55
acc,0.0039,-0.058,0.8710,884.46
acc,-0.035,-0.023,0.9335,885.38
comp,356.96,-33.12,642.16,888.78
acc,-0.023,-0.039,0.8789,889.72
acc,-0.035,-0.015,0.8476,890.65
acc,0.0,-0.023,0.8828,891.56
acc,-0.015,-0.027,0.9453,892.47
gyr,-8,60,7,894.77
acc,-0.039,-0.035,0.9023,895.72
acc,-0.042,-0.019,0.8632,896.65
acc,-0.023,-0.027,0.8320,897.56
acc,-0.011,-0.011,0.9687,898.48
gyr,-7,61,7,900.22
acc,-0.039,-0.035,0.8789,901.15
acc,-0.035,-0.039,0.8906,902.09
acc,-0.035,-0.039,0.8906,903.02
acc,-0.058,-0.031,0.8867,903.93
acc,-0.019,-0.050,0.9179,904.84
comp,357.88,-33.12,642.16,908.26
acc,-0.031,-0.039,0.8906,909.20
acc,-0.023,-0.031,0.8554,910.12
acc,-0.007,-0.027,0.8398,911.03
acc,-0.074,-0.011,0.8867,911.94
gyr,-4,65,2,914.38
acc,-0.035,-0.035,0.8867,915.33
acc,-0.019,-0.035,0.8593,916.26
acc,-0.039,-0.031,0.8554,917.18
acc,-0.035,-0.042,0.9101,918.10
gyr,-6,65,7,919.81
acc,-0.035,-0.031,0.8906,920.74
acc,-0.011,-0.035,0.8828,921.70
acc,-0.011,-0.035,0.8828,922.61
acc,0.0,-0.027,0.8515,923.52
acc,-0.027,-0.015,0.8945,924.43
comp,357.88,-33.12,642.16,927.82
acc,-0.031,-0.007,0.8710,928.75
acc,-0.031,-0.007,0.8710,929.67
acc,-0.027,-0.023,0.8906,930.58
acc,0.0078,-0.031,0.8710,931.49
gyr,-7,65,3,933.48
acc,-0.031,-0.039,0.8789,934.43
acc,-0.054,-0.035,0.9570,935.35
acc,-0.031,-0.019,0.875,936.27
acc,-0.042,-0.035,0.9062,937.19
gyr,-7,63,4,938.89
acc,-0.031,-0.027,0.875,939.82
acc,-0.031,-0.027,0.875,940.74
acc,-0.042,-0.015,0.8242,941.65
acc,-0.023,-0.007,0.8789,942.56
acc,0.0117,-0.019,0.8828,943.47
comp,357.88,-33.12,642.16,946.86
acc,-0.039,-0.031,0.8828,947.78
acc,0.0039,-0.027,0.8867,948.71
acc,-0.019,0.0117,0.8554,949.62
acc,-0.019,0.0117,0.8554,950.53
gyr,-8,63,3,953.20
acc,-0.042,-0.027,0.8906,954.15
acc,-0.031,-0.031,0.8984,955.07
acc,-0.035,-0.031,0.9414,955.98
acc,-0.023,-0.031,0.8789,956.89
gyr,-8,63,-1,958.59
acc,-0.015,-0.042,0.8828,959.53
acc,-0.011,-0.019,0.8593,960.45
acc,-0.011,-0.019,0.8593,961.36
acc,-0.035,-0.031,0.875,962.27
acc,-0.035,-0.027,0.8554,963.18
comp,357.88,-33.12,642.16,966.56
acc,-0.031,-0.039,0.8906,967.49
acc,-0.023,-0.031,0.875,968.42
acc,-0.046,-0.011,0.9687,969.33
acc,0.0195,-0.035,0.8945,970.23
gyr,-8,63,6,972.35
acc,-0.027,-0.031,0.875,973.30
acc,-0.039,-0.023,0.9453,974.22
acc,-0.042,-0.015,0.8281,975.13
acc,-0.042,0.0078,0.8906,976.04
gyr,-6,65,2,978.33
acc,-0.031,-0.035,0.8867,979.29
acc,0.0117,-0.039,0.8789,980.21
acc,-0.031,-0.007,0.9101,981.14
acc,-0.031,-0.007,0.9101,982.05
acc,-0.031,-0.035,0.875,982.96
comp,356.96,-34.96,642.16,986.67
acc,-0.042,-0.031,0.8867,987.62
acc,-0.011,-0.011,0.8906,988.55
acc,-0.066,0.0195,0.8710,989.45
acc,-0.066,0.0195,0.8710,990.36
gyr,-9,63,4,992.06
acc,-0.027,-0.019,0.8671,993.00
acc,-0.035,-0.035,0.8984,993.93
acc,-0.015,-0.015,0.8906,994.84
acc,-0.031,-0.019,0.8984,995.74
gyr,-10,63,5,997.44
acc,-0.023,-0.035,0.875,998.38
acc,-0.027,-0.023,0.8906,999.30
acc,-0.027,-0.023,0.8906,1000.2
acc,-0.011,-0.027,0.9492,1001.1
acc,-0.019,0.0078,0.9023,1002.0
comp,356.96,-34.96,642.16,1006.0
acc,-0.031,-0.031,0.8789,1006.9
acc,-0.035,-0.011,0.9414,1007.9
acc,-0.042,-0.031,0.9257,1008.8
acc,-0.042,-0.031,0.9257,1009.7
gyr,-7,65,7,1011.4
acc,-0.015,-0.035,0.8867,1012.4
acc,-0.042,-0.027,0.8867,1013.3
acc,-0.027,-0.023,0.8710,1014.2
acc,-0.058,0.0,0.8437,1015.1
gyr,-5,65,7,1016.8
acc,-0.031,-0.039,0.875,1017.7
acc,-0.062,-0.007,0.8867,1018.6
acc,-0.062,-0.007,0.8867,1019.5
acc,-0.027,-0.023,0.8476,1020.5
acc,-0.031,-0.015,0.9296,1021.4
comp,356.96,-34.96,642.16,1025.4
acc,-0.035,-0.035,0.8828,1026.3
acc,-0.042,-0.042,0.9062,1027.3
acc,-0.046,-0.011,0.9023,1028.2
acc,-0.046,-0.011,0.9023,1029.1
gyr,-8,63,3,1030.8
acc,-0.035,-0.015,0.8789,1031.8
acc,-0.035,-0.027,0.8515,1032.7
acc,-0.031,-0.027,0.9101,1033.6
acc,-0.039,-0.011,0.9101,1034.5
gyr,-7,67,8,1036.6
acc,-0.027,-0.039,0.875,1037.5
acc,-0.050,-0.031,0.9375,1038.5
acc,-0.046,-0.007,0.9375,1039.4
acc,-0.058,0.0078,0.8945,1040.3
acc,-0.058,0.0078,0.8945,1041.2
comp,356.96,-34.04,641.24,1044.9
acc,-0.035,-0.039,0.8710,1045.8
acc,-0.035,-0.039,0.9257,1046.7
acc,-0.054,-0.039,0.9531,1047.6
acc,-0.054,-0.039,0.9531,1048.5
gyr,-8,62,2,1050.2
acc,-0.023,-0.035,0.8828,1051.2
acc,-0.039,-0.019,0.8671,1052.1
acc,-0.031,-0.042,0.9218,1053.0
acc,-0.042,-0.011,0.8906,1053.9
gyr,-8,64,5,1055.9
acc,-0.031,-0.042,0.8789,1056.9
acc,-0.074,0.0195,0.8984,1057.8
acc,-0.050,-0.015,0.8867,1058.7
acc,-0.050,-0.015,0.8867,1059.6
acc,-0.031,-0.031,0.9140,1060.5
comp,356.96,-34.04,641.24,1063.9
acc,-0.031,-0.027,0.8789,1064.8
acc,-0.031,-0.027,0.8789,1065.7
acc,-0.011,-0.019,0.8554,1066.6
acc,-0.042,-0.011,0.8554,1067.6
gyr,-6,63,3,1069.3
acc,-0.035,-0.035,0.8789,1070.2
acc,-0.050,-0.023,0.8945,1071.1
acc,-0.011,-0.062,0.9218,1072.0
acc,-0.011,-0.062,0.9218,1072.9
gyr,-6,64,4,1075.2
acc,-0.031,-0.039,0.875,1076.1
acc,-0.035,-0.015,0.8789,1077.0
acc,-0.066,-0.031,0.9101,1077.9
acc,-0.066,-0.031,0.9101,1078.8
acc,-0.050,-0.031,0.9257,1079.7
comp,356.96,-34.04,641.24,1083.2
acc,-0.027,-0.031,0.8789,1084.2
acc,-0.027,-0.031,0.8789,1085.1
acc,-0.027,-0.019,0.8437,1086.0
acc,-0.031,-0.011,0.9921,1086.9
gyr,-6,63,5,1089.0
acc,-0.027,-0.039,0.8828,1089.9
acc,-0.035,-0.042,0.9492,1090.9
acc,0.0,-0.011,0.9179,1091.8
acc,-0.023,-0.023,0.8867,1092.7
gyr,-10,65,0,1094.6
acc,-0.035,-0.023,0.8789,1095.5
acc,-0.011,-0.066,0.8632,1096.4
acc,-0.050,-0.027,0.8906,1097.4
acc,-0.050,-0.027,0.8906,1098.3
acc,0.0039,-0.035,0.8867,1099.2
comp,356.96,-34.04,641.24,1102.7
acc,-0.027,-0.039,0.8867,1103.7
acc,-0.027,-0.039,0.8867,1104.6
acc,-0.039,-0.015,0.8945,1105.5
acc,-0.027,-0.066,0.8945,1106.4
gyr,-5,63,10,1108.5
acc,-0.031,-0.031,0.8828,1109.5
acc,-0.042,-0.023,0.875,1110.4
acc,-0.023,-0.046,0.8710,1111.3
acc,0.0039,-0.023,0.8398,1112.2
gyr,-8,63,3,1113.9
acc,-0.015,-0.027,0.8789,1114.9
acc,-0.027,-0.011,0.8867,1115.8
acc,-0.027,-0.011,0.8867,1116.7
acc,0.0039,-0.023,0.8867,1117.6
acc,-0.023,-0.007,0.8710,1118.5
comp,356.96,-34.04,641.24,1121.9
acc,-0.035,-0.035,0.8828,1122.8
acc,-0.039,-0.035,0.8867,1123.7
acc,-0.031,-0.023,0.875,1124.6
acc,-0.039,-0.007,0.8710,1125.5
gyr,-10,63,5,1127.8
acc,-0.042,-0.031,0.8945,1128.8
acc,-0.035,-0.035,0.8476,1129.7
acc,-0.027,-0.019,0.8906,1130.6
acc,-0.015,0.0,0.8984,1131.6
gyr,-7,66,7,1133.5
acc,-0.031,-0.023,0.8867,1134.4
acc,-0.035,-0.011,0.9414,1135.3
acc,-0.046,0.0195,0.8945,1136.2
acc,-0.046,0.0195,0.8945,1137.1
acc,-0.039,-0.019,0.9023,1138.1
comp,356.96,-34.04,641.24,1141.5
acc,-0.035,-0.031,0.8789,1142.4
acc,-0.035,-0.031,0.8789,1143.3
acc,-0.027,-0.031,0.8593,1144.2
acc,-0.007,-0.023,0.9648,1145.1
gyr,-6,65,1,1147.2
acc,-0.042,-0.027,0.8828,1148.2
acc,-0.042,-0.039,0.9335,1149.1
acc,0.0117,-0.031,0.9179,1150.0
acc,-0.035,-0.023,0.9062,1150.9
gyr,-7,64,9,1152.9
acc,-0.035,-0.023,0.8710,1153.8
acc,-0.035,-0.031,0.9218,1154.7
acc,-0.070,-0.050,0.9609,1155.6
acc,-0.070,-0.050,0.9609,1156.6
acc,-0.066,-0.039,0.9648,1157.5
comp,356.96,-34.04,641.24,1160.9
acc,-0.027,-0.023,0.875,1161.8
acc,-0.027,-0.023,0.875,1162.7
acc,0.0,-0.035,0.8476,1163.6
acc,-0.035,-0.011,0.8398,1164.5
gyr,-7,65,3,1166.9
acc,-0.035,-0.046,0.8984,1167.8
acc,-0.035,-0.046,0.8984,1168.7
acc,-0.039,-0.039,0.9296,1169.7
acc,-0.023,-0.035,0.8671,1170.6
gyr,-7,64,6,1172.5
acc,-0.027,-0.035,0.8906,1173.5
acc,-0.035,0.0234,0.9023,1174.4
acc,-0.015,-0.011,0.8437,1175.3
acc,-0.015,-0.011,0.8437,1176.2
acc,-0.007,-0.027,0.8671,1177.1
comp,357.88,-34.04,641.24,1180.5
acc,-0.035,-0.023,0.8828,1181.4
acc,-0.031,0.0390,0.9218,1182.3
acc,-0.031,0.0390,0.9218,1183.3
acc,-0.039,-0.027,0.8906,1184.2
gyr,-7,63,0,1186.4
acc,-0.042,-0.035,0.8789,1187.4
acc,-0.042,-0.035,0.8789,1188.3
acc,-0.035,-0.054,0.8867,1189.2
acc,-0.050,-0.023,0.8945,1190.1
gyr,-6,61,5,1192.1
acc,-0.027,-0.042,0.875,1193.0
acc,-0.007,-0.039,0.8632,1193.9
acc,-0.023,-0.015,0.8828,1194.8
acc,-0.054,-0.058,0.8789,1195.7
acc,-0.054,-0.058,0.8789,1196.7
comp,357.88,-34.04,641.24,1200.0
acc,-0.035,-0.023,0.8789,1201.0
acc,-0.039,-0.023,0.8437,1201.9
acc,-0.039,-0.023,0.8437,1202.8
acc,-0.011,-0.011,0.9179,1203.7
gyr,-8,65,2,1206.0
acc,-0.035,-0.023,0.8828,1206.9
acc,-0.058,-0.019,0.9531,1207.9
acc,-0.058,-0.019,0.9531,1208.8
acc,-0.050,0.0078,0.8437,1209.7
gyr,-7,66,2,1211.4
acc,-0.031,-0.035,0.8867,1212.3
acc,-0.066,0.0,0.8125,1213.2
acc,-0.015,-0.035,0.8828,1214.2
acc,-0.031,-0.027,0.875,1215.1
acc,-0.031,-0.027,0.875,1216.0
comp,357.88,-34.04,641.24,1219.8
acc,-0.035,-0.035,0.8867,1220.7
acc,-0.019,-0.066,0.8867,1221.7
acc,-0.015,-0.015,0.8906,1222.6
acc,-0.015,-0.015,0.8906,1223.5
gyr,-6,66,8,1225.2
acc,-0.031,-0.031,0.8671,1226.1
acc,-0.031,-0.031,0.8671,1227.1
acc,-0.019,0.0117,0.8906,1228.0
acc,-0.031,-0.015,0.875,1228.9
gyr,-7,65,3,1230.6
acc,-0.027,-0.023,0.8828,1231.5
acc,-0.078,-0.023,0.8906,1232.4
acc,-0.035,-0.035,0.9882,1233.3
acc,-0.035,-0.035,0.9882,1234.2
acc,-0.050,-0.046,0.9023,1235.2
comp,356.96,-34.96,641.24,1238.5
acc,-0.035,-0.035,0.8789,1239.5
acc,-0.035,-0.035,0.8789,1240.4
acc,-0.046,0.0,0.8945,1241.3
acc,-0.007,-0.054,0.8164,1242.2
gyr,-9,64,7,1244.6
acc,-0.035,-0.035,0.8945,1245.6
acc,-0.035,-0.035,0.8945,1246.5
acc,-0.039,-0.058,0.8984,1247.4
acc,-0.027,0.0390,0.8945,1248.4
gyr,-8,62,4,1250.1
acc,-0.019,-0.035,0.8906,1251.0
acc,-0.027,-0.019,0.8593,1251.9
acc,-0.101,0.0625,0.9257,1252.8
acc,-0.101,0.0625,0.9257,1253.7
acc,-0.031,-0.015,0.8945,1254.6
comp,356.96,-34.96,641.24,1258.0
acc,-0.035,-0.023,0.8867,1259.0
acc,-0.035,-0.023,0.8867,1259.9
acc,-0.035,-0.031,0.8359,1260.8
acc,-0.035,-0.027,0.8554,1261.7
gyr,-6,65,2,1264.0
acc,-0.031,-0.039,0.8867,1265.0
acc,-0.031,-0.039,0.8867,1266.0
acc,-0.011,-0.023,0.875,1266.9
acc,0.0195,-0.031,0.8867,1267.8
gyr,-7,65,8,1269.5
acc,-0.027,-0.027,0.8710,1270.4
acc,-0.019,-0.066,0.875,1271.4
acc,-0.027,-0.015,0.9179,1272.3
acc,-0.027,-0.015,0.9179,1273.2
acc,-0.031,-0.015,0.9843,1274.1
comp,356.96,-34.96,641.24,1277.9
acc,-0.039,-0.027,0.8828,1278.9
acc,-0.035,-0.031,0.8789,1279.8
acc,0.0,-0.031,0.8359,1280.7
acc,0.0,-0.031,0.8359,1281.7
gyr,-6,63,1,1283.5
acc,-0.042,-0.031,0.875,1284.6
acc,-0.046,-0.046,0.8828,1285.5
acc,-0.046,-0.046,0.8828,1286.4
acc,-0.031,-0.039,0.8906,1287.3
gyr,-6,62,6,1289.0
acc,-0.035,-0.031,0.8710,1289.9
acc,-0.058,-0.027,0.8828,1290.8
acc,-0.042,-0.019,0.8203,1291.8
acc,-0.042,-0.019,0.8203,1292.7
acc,0.0039,-0.007,0.8789,1293.6
comp,356.96,-34.96,641.24,1297.0
acc,-0.042,-0.031,0.8828,1297.9
acc,-0.066,0.0,0.8867,1298.8
acc,-0.066,0.0,0.8867,1299.7
acc,-0.050,-0.015,0.8867,1300.6
gyr,-7,63,6,1302.9
acc,-0.031,-0.031,0.8789,1303.9
acc,-0.031,-0.031,0.8789,1304.8
acc,-0.019,-0.027,0.8359,1305.7
acc,-0.027,0.0039,0.8906,1306.6
gyr,-7,64,6,1308.3
acc,-0.035,-0.039,0.8632,1309.3
acc,0.0156,-0.035,0.9101,1310.2
acc,-0.015,-0.089,0.8945,1311.1
acc,-0.015,-0.089,0.8945,1312.0
acc,-0.039,-0.039,0.8554,1312.9
comp,356.96,-34.96,641.24,1316.4
acc,-0.035,-0.031,0.8789,1317.3
acc,0.0156,-0.050,0.8710,1318.2
acc,0.0156,-0.050,0.8710,1319.2
acc,-0.046,0.0,0.9296,1320.1
gyr,-5,64,1,1321.8
acc,-0.031,-0.031,0.875,1322.7
acc,-0.031,-0.019,0.8945,1323.6
acc,-0.027,-0.042,0.9179,1324.5
acc,-0.027,-0.042,0.9179,1325.4
gyr,-5,64,4,1327.8
acc,-0.042,-0.031,0.8789,1328.8
acc,-0.046,-0.023,0.8867,1329.7
acc,-0.015,-0.031,0.8945,1330.6
acc,-0.015,-0.031,0.8945,1331.5
acc,-0.039,0.0312,0.8867,1332.4
comp,356.96,-34.96,641.24,1336.2
acc,-0.039,-0.039,0.8671,1337.1
acc,0.0,-0.093,0.9023,1338.1
acc,-0.054,0.0078,0.9296,1339.0
acc,-0.054,0.0078,0.9296,1339.9
gyr,-8,65,6,1341.6
acc,-0.031,-0.011,0.8867,1342.5
acc,-0.031,-0.011,0.8867,1343.5
acc,-0.050,-0.042,0.8867,1344.4
acc,-0.035,-0.031,0.875,1345.3
gyr,-6,64,0,1347.0
acc,-0.035,-0.035,0.8945,1347.9
acc,-0.011,-0.015,0.8554,1348.8
acc,-0.011,-0.015,0.8554,1349.7
acc,-0.011,-0.007,0.8789,1350.6
acc,-0.023,0.0078,0.8359,1351.5
comp,356.96,-34.96,641.24,1355.5
acc,-0.027,-0.031,0.8710,1356.5
acc,0.0078,-0.046,0.8984,1357.4
acc,-0.042,-0.007,0.8789,1358.3
acc,-0.042,-0.007,0.8789,1359.2
gyr,-6,63,4,1360.9
acc,-0.031,-0.027,0.8632,1361.8
acc,-0.039,-0.035,0.8203,1362.8
acc,-0.035,0.0156,0.8984,1363.7
acc,-0.039,0.0195,0.8554,1364.6
gyr,-5,67,2,1366.6
acc,-0.027,-0.031,0.8789,1367.6
acc,-0.023,-0.007,0.8906,1368.5
acc,0.0,-0.015,0.8945,1369.5
acc,0.0,-0.015,0.8945,1370.4
acc,-0.039,-0.007,0.8789,1371.3
comp,356.96,-34.04,642.16,1375.0
acc,-0.042,-0.039,0.8789,1375.9
acc,-0.027,0.0039,0.8789,1376.8
acc,-0.042,-0.023,0.8398,1377.7
acc,-0.042,-0.023,0.8398,1378.6
gyr,-7,61,6,1380.4
acc,-0.031,-0.035,0.8789,1381.3
acc,-0.031,-0.019,0.8906,1382.2
acc,-0.042,0.0,0.8632,1383.1
acc,-0.050,-0.046,0.8515,1384.0
gyr,-3,63,6,1386.1
acc,-0.031,-0.035,0.8867,1387.0
acc,-0.023,0.0039,0.9179,1388.0
acc,-0.027,-0.031,0.9140,1388.9
acc,-0.027,-0.031,0.9140,1389.8
acc,-0.027,-0.054,0.875,1390.7
comp,356.96,-34.04,642.16,1394.1
acc,-0.035,-0.027,0.8867,1395.0
acc,0.0078,-0.027,0.8398,1395.9
acc,0.0078,-0.027,0.8398,1396.8
acc,-0.070,-0.039,0.9179,1397.8
gyr,-9,63,2,1399.9
acc,-0.046,-0.023,0.8789,1400.8
acc,-0.046,-0.023,0.8789,1401.7
acc,-0.015,-0.031,0.8906,1402.7
acc,-0.031,-0.019,0.9062,1403.6
gyr,-7,65,5,1405.5
acc,-0.031,-0.031,0.8671,1406.4
acc,-0.007,-0.023,0.8671,1407.3
acc,-0.023,0.0078,0.8828,1408.3
acc,-0.023,0.0078,0.8828,1409.2
acc,-0.011,-0.027,0.8671,1410.1
comp,356.96,-34.04,642.16,1413.5
acc,-0.031,-0.027,0.875,1414.4
acc,0.0039,-0.031,0.8906,1415.3
acc,0.0039,-0.031,0.8906,1416.2
acc,-0.066,0.0273,0.8984,1417.1
gyr,-7,64,0,1418.8
acc,-0.011,-0.035,0.8789,1419.8
acc,-0.027,-0.027,0.8476,1420.7
acc,-0.062,-0.011,0.8789,1421.7
acc,-0.054,-0.023,0.8945,1422.6
gyr,-8,63,2,1424.9
acc,-0.031,-0.023,0.8789,1425.8
acc,-0.046,-0.023,0.8945,1426.8
acc,-0.023,-0.015,0.9023,1427.7
acc,-0.023,-0.015,0.9023,1428.6
acc,-0.035,-0.042,0.9218,1429.5
comp,357.88,-34.04,641.24,1432.9
acc,-0.011,-0.042,0.875,1433.8
acc,-0.039,0.0,0.875,1434.7
acc,-0.039,0.0,0.875,1435.7
