sensor,x,y,z,t_ms
acc,-0.046,0.0234,0.8710,1436.6
gyr,-6,64,4,1438.7
acc,-0.042,-0.031,0.9179,1439.6
acc,-0.042,-0.031,0.9179,1440.5
acc,-0.007,-0.007,0.8984,1441.4
acc,-0.023,0.0078,0.8828,1442.3
gyr,-9,62,1,1444.2
acc,-0.031,-0.035,0.8828,1445.2
acc,0.0078,-0.023,0.8359,1446.2
acc,-0.027,-0.035,0.8632,1447.1
acc,-0.027,-0.035,0.8632,1448.0
acc,-0.062,-0.062,0.8984,1448.9
comp,357.88,-34.04,641.24,1452.5
acc,-0.039,-0.031,0.8828,1453.4
acc,-0.027,-0.019,0.8906,1454.3
acc,-0.027,-0.019,0.8906,1455.2
acc,-0.035,-0.039,0.8945,1456.1
gyr,-8,62,7,1458.0
acc,-0.031,-0.031,0.8789,1459.0
acc,-0.042,-0.027,0.8906,1459.9
acc,0.0039,-0.031,0.8984,1460.8
acc,-0.039,-0.023,0.9140,1461.7
gyr,-5,63,1,1463.6
acc,-0.027,-0.031,0.8867,1464.5
acc,-0.050,-0.046,0.8828,1465.5
acc,-0.035,0.0195,0.9023,1466.4
acc,-0.035,0.0195,0.9023,1467.3
acc,-0.007,-0.019,0.8671,1468.2
comp,357.88,-34.04,641.24,1471.6
acc,-0.035,-0.027,0.9335,1472.5
acc,-0.035,-0.027,0.9335,1473.4
acc,-0.035,-0.019,0.8828,1474.4
acc,-0.019,-0.027,0.8320,1475.3
gyr,-6,63,9,1476.9
acc,-0.039,-0.039,0.8828,1477.9
acc,-0.007,-0.031,0.7734,1478.8
acc,-0.035,-0.011,0.8476,1479.7
acc,-0.035,-0.011,0.8476,1480.6
gyr,-7,64,5,1482.9
acc,-0.027,-0.046,0.8789,1483.8
acc,-0.027,0.0117,0.9531,1484.7
acc,-0.027,0.0117,0.9531,1485.7
acc,-0.054,-0.031,0.8867,1486.6
acc,-0.027,0.0039,0.8515,1487.5
comp,357.88,-34.04,641.24,1490.9
acc,-0.015,-0.042,0.8671,1491.8
acc,-0.015,-0.042,0.8671,1492.7
acc,-0.035,-0.042,0.8984,1493.6
acc,-0.046,-0.023,0.9179,1494.5
gyr,-6,61,8,1496.6
acc,-0.027,-0.039,0.8789,1497.6
acc,0.0078,-0.039,0.8789,1498.5
acc,0.0039,-0.023,0.8867,1499.4
acc,-0.035,0.0039,0.8984,1500.3
gyr,-8,60,9,1502.2
acc,-0.031,-0.035,0.8984,1503.1
acc,-0.023,-0.015,0.8710,1504.0
acc,-0.023,-0.015,0.8710,1505.0
acc,-0.039,-0.031,0.8632,1505.9
acc,0.0117,-0.042,0.8632,1506.8
comp,357.88,-34.96,641.24,1510.2
acc,-0.027,-0.035,0.8789,1511.1
acc,-0.039,-0.035,0.9335,1512.0
acc,-0.015,-0.019,0.8554,1512.9
acc,-0.027,-0.035,0.9023,1513.9
gyr,-5,62,4,1515.5
acc,-0.035,-0.035,0.8671,1516.5
acc,-0.023,-0.050,0.9804,1517.4
acc,-0.023,-0.050,0.9804,1518.3
acc,-0.027,0.0156,0.9375,1519.2
gyr,-4,66,5,1520.9
acc,-0.039,-0.035,0.875,1521.8
acc,-0.058,-0.031,0.9062,1522.8
acc,-0.070,-0.015,0.9101,1523.7
acc,-0.023,-0.058,0.8828,1524.6
acc,-0.023,-0.058,0.8828,1525.5
comp,357.88,-34.96,641.24,1528.9
acc,-0.039,-0.027,0.8906,1529.8
acc,-0.019,-0.007,0.8710,1530.7
acc,-0.019,-0.007,0.8710,1531.6
acc,-0.011,-0.031,0.8632,1532.5
gyr,-3,63,8,1535.2
acc,-0.039,-0.035,0.8906,1536.1
acc,-0.035,-0.027,0.8359,1537.1
acc,-0.023,-0.023,0.8515,1538.0
acc,-0.023,-0.023,0.8515,1538.9
gyr,-5,65,3,1540.8
acc,-0.039,-0.035,0.8828,1541.7
acc,-0.039,-0.035,0.8828,1542.6
acc,-0.031,-0.054,0.9101,1543.6
acc,-0.019,-0.015,0.8242,1544.5
acc,-0.019,-0.015,0.8593,1545.4
comp,357.88,-34.96,641.24,1548.8
acc,-0.027,-0.039,0.8984,1549.7
acc,-0.035,0.0234,0.8906,1550.6
acc,-0.039,0.0195,0.8632,1551.5
acc,-0.035,-0.019,0.8710,1552.4
gyr,-7,65,6,1554.5
acc,-0.023,-0.019,0.875,1555.5
acc,-0.027,-0.019,0.9414,1556.4
acc,-0.042,-0.027,0.8398,1557.3
acc,-0.042,-0.027,0.8398,1558.3
gyr,-8,65,3,1559.9
acc,-0.027,-0.031,0.8828,1560.9
acc,-0.027,-0.023,0.875,1561.8
acc,-0.027,-0.019,0.9414,1562.7
acc,-0.023,-0.015,0.8398,1563.6
acc,-0.023,-0.015,0.8398,1564.5
comp,357.88,-34.04,642.16,1567.9
acc,-0.039,-0.035,0.8906,1568.8
acc,-0.046,0.0078,0.8867,1569.8
acc,-0.007,-0.050,0.8398,1570.7
acc,-0.007,-0.050,0.8398,1571.6
gyr,-7,62,1,1573.9
acc,-0.039,-0.035,0.8828,1574.8
acc,-0.035,0.0039,0.8984,1575.7
acc,-0.035,0.0039,0.8984,1576.7
acc,-0.046,-0.050,0.8945,1577.6
gyr,-6,60,2,1579.3
acc,-0.042,-0.031,0.8867,1580.2
acc,-0.042,-0.035,0.9335,1581.1
acc,-0.011,-0.031,0.8632,1582.0
acc,-0.039,0.0390,0.8789,1582.9
acc,-0.039,0.0390,0.8789,1583.8
comp,357.88,-34.04,642.16,1587.4
acc,-0.042,-0.042,0.8828,1588.3
acc,-0.031,-0.015,1.0,1589.2
acc,-0.046,-0.035,0.9453,1590.1
acc,-0.046,-0.035,0.9453,1591.1
gyr,-7,63,7,1592.8
acc,-0.042,-0.039,0.8554,1593.7
acc,-0.042,-0.039,0.8554,1594.6
acc,-0.027,-0.027,0.8789,1595.5
acc,-0.035,-0.019,0.8710,1596.4
gyr,-11,62,3,1598.1
acc,-0.031,-0.031,0.8710,1599.1
acc,-0.039,-0.050,0.9023,1600.0
acc,-0.039,-0.050,0.9023,1600.9
acc,-0.046,-0.031,0.8945,1601.8
acc,-0.031,-0.011,0.7578,1602.7
comp,357.88,-34.04,642.16,1606.2
acc,-0.015,-0.031,0.8710,1607.1
acc,-0.015,-0.031,0.8710,1608.1
acc,-0.035,-0.031,0.8789,1609.0
acc,-0.027,-0.015,0.9335,1609.9
gyr,-6,64,3,1612.7
acc,-0.035,-0.039,0.8945,1613.7
acc,-0.042,-0.042,0.8945,1614.6
acc,-0.042,-0.042,0.8945,1615.5
acc,-0.023,-0.019,0.8906,1616.4
gyr,-7,64,6,1618.3
acc,-0.031,-0.050,0.875,1619.3
acc,-0.031,-0.050,0.875,1620.2
acc,-0.046,-0.035,0.9609,1621.1
acc,-0.042,-0.027,0.8984,1622.0
acc,-0.042,-0.085,0.8906,1623.0
comp,357.88,-34.04,644.0,1626.5
acc,-0.042,-0.035,0.8828,1627.4
acc,-0.035,0.0078,0.8945,1628.3
acc,-0.027,-0.015,0.8867,1629.2
acc,-0.011,-0.027,0.875,1630.2
gyr,-5,64,0,1633.0
acc,-0.031,-0.031,0.8671,1633.9
acc,-0.031,-0.031,0.8671,1634.9
acc,-0.050,-0.011,0.8398,1635.8
acc,-0.027,0.0078,0.8554,1636.7
gyr,-4,65,10,1638.4
acc,-0.035,-0.046,0.8789,1639.3
acc,-0.027,-0.062,0.8476,1640.2
acc,-0.039,-0.035,0.8789,1641.1
acc,-0.039,-0.035,0.8789,1642.0
acc,-0.039,-0.042,0.8945,1643.0
comp,357.88,-34.04,644.0,1646.4
acc,-0.031,-0.031,0.9062,1647.3
acc,-0.031,-0.031,0.9062,1648.2
acc,-0.015,-0.031,0.8867,1649.2
acc,-0.039,0.0078,0.8632,1650.1
gyr,-5,67,2,1651.8
acc,-0.031,-0.039,0.875,1652.7
acc,-0.046,-0.058,0.8789,1653.6
acc,-0.039,0.0234,0.8945,1654.5
acc,-0.039,0.0234,0.8945,1655.4
gyr,-3,64,4,1657.1
acc,-0.046,-0.042,0.8671,1658.0
acc,-0.046,-0.042,0.8671,1659.0
acc,-0.035,-0.039,0.8710,1659.9
acc,-0.027,-0.015,0.8945,1660.8
acc,-0.054,0.0,0.8593,1661.7
comp,357.88,-34.04,644.0,1666.0
acc,-0.039,-0.023,0.8710,1666.9
acc,-0.042,-0.015,0.8671,1667.9
acc,-0.042,-0.015,0.8671,1668.8
acc,0.0390,-0.085,0.8828,1669.7
gyr,-5,64,1,1671.4
acc,-0.019,-0.046,0.875,1672.4
acc,-0.031,-0.027,0.9140,1673.3
acc,-0.019,0.0351,0.8906,1674.2
acc,0.0,-0.007,0.8398,1675.1
gyr,-8,63,3,1676.9
acc,-0.031,-0.023,0.875,1677.8
acc,-0.031,-0.023,0.9140,1678.7
acc,-0.031,-0.023,0.9140,1679.7
acc,-0.062,-0.050,0.8906,1680.6
acc,0.0039,-0.054,0.8828,1681.5
comp,357.88,-34.04,644.0,1685.2
acc,-0.042,-0.039,0.8867,1686.1
acc,-0.042,-0.039,0.8867,1687.0
acc,-0.039,-0.039,0.8281,1687.9
acc,-0.050,-0.019,0.8828,1688.8
gyr,-7,64,6,1690.5
acc,-0.031,-0.023,0.8984,1691.5
acc,-0.019,-0.027,0.8867,1692.4
acc,-0.023,-0.011,0.8593,1693.3
acc,-0.023,-0.011,0.8593,1694.2
gyr,-7,65,6,1696.3
acc,-0.039,-0.027,0.8828,1697.2
acc,-0.078,-0.046,0.8828,1698.2
acc,-0.078,-0.046,0.8828,1699.1
acc,0.0117,-0.035,0.8789,1700.0
acc,-0.062,0.0234,0.8867,1700.9
comp,357.88,-34.96,641.24,1704.5
acc,-0.039,-0.035,0.8515,1705.5
acc,-0.039,-0.035,0.8515,1706.4
acc,-0.042,-0.015,0.8906,1707.3
acc,-0.062,0.0429,0.8984,1708.2
gyr,-9,64,4,1709.9
acc,-0.031,-0.031,0.8632,1710.9
acc,-0.023,-0.027,0.8710,1711.8
acc,-0.019,-0.023,0.8828,1712.7
acc,-0.019,-0.023,0.8828,1713.6
gyr,-8,62,3,1716.6
acc,-0.035,-0.042,0.875,1717.6
acc,-0.035,-0.042,0.875,1718.5
acc,-0.046,-0.039,0.8710,1719.4
acc,0.0156,-0.039,0.8632,1720.3
acc,-0.023,-0.058,0.8554,1721.2
comp,357.88,-34.96,641.24,1724.8
acc,-0.031,-0.035,0.8828,1725.7
acc,-0.035,0.0273,0.9179,1726.7
acc,-0.023,-0.046,0.9101,1727.6
acc,-0.039,-0.011,0.8906,1728.5
gyr,-7,65,6,1730.2
acc,-0.031,-0.039,0.8789,1731.1
acc,-0.054,-0.015,0.9218,1732.1
acc,-0.054,-0.015,0.9218,1733.0
acc,-0.035,0.0039,0.8984,1733.9
gyr,-6,63,4,1735.6
acc,-0.031,-0.027,0.9023,1736.5
acc,0.0,-0.039,0.9492,1737.5
acc,-0.042,-0.015,0.9101,1738.4
acc,-0.042,-0.015,0.9101,1739.3
acc,-0.031,-0.031,0.8515,1740.2
comp,357.88,-34.96,641.24,1743.7
acc,-0.035,-0.031,0.8828,1744.7
acc,-0.023,-0.019,0.8515,1745.6
acc,-0.023,-0.019,0.8515,1746.5
acc,-0.046,-0.031,0.8867,1747.4
gyr,-5,60,5,1749.4
acc,-0.027,-0.027,0.8671,1750.3
acc,-0.027,-0.027,0.8671,1751.2
acc,-0.050,-0.027,0.8632,1752.1
acc,-0.027,-0.058,0.8906,1753.0
gyr,-4,64,8,1755.7
acc,-0.015,-0.027,0.8710,1756.7
acc,-0.035,-0.054,0.8437,1757.6
acc,-0.035,-0.054,0.8437,1758.5
acc,-0.007,-0.046,0.8593,1759.4
acc,-0.019,-0.050,0.8906,1760.3
comp,357.88,-34.04,642.16,1763.7
acc,-0.035,-0.023,0.875,1764.6
acc,-0.046,-0.027,0.875,1765.6
acc,-0.066,-0.023,0.8554,1766.5
acc,-0.035,0.0351,0.8281,1767.4
gyr,-8,63,3,1769.5
acc,-0.027,-0.039,0.8632,1770.4
acc,-0.039,-0.035,0.9101,1771.3
acc,-0.019,-0.035,0.9257,1772.3
acc,-0.019,-0.035,0.9257,1773.2
gyr,-9,64,7,1775.1
acc,-0.035,-0.031,0.875,1776.0
acc,-0.035,-0.031,0.875,1776.9
acc,-0.039,-0.035,0.8906,1777.8
acc,-0.023,-0.015,0.9023,1778.7
acc,0.0273,-0.035,0.8476,1779.7
comp,357.88,-34.04,642.16,1783.1
acc,-0.031,-0.031,0.8867,1784.0
acc,-0.019,-0.054,0.8710,1784.9
acc,-0.042,0.0117,0.9062,1785.8
acc,0.0,-0.015,0.8164,1786.7
gyr,-6,61,2,1788.5
acc,-0.039,-0.027,0.8945,1789.4
acc,-0.074,-0.023,0.8828,1790.3
acc,-0.074,-0.023,0.8828,1791.2
acc,-0.089,-0.035,0.8281,1792.2
gyr,-7,65,3,1795.4
acc,-0.035,-0.035,0.875,1796.3
acc,-0.031,-0.031,0.8945,1797.3
acc,0.0195,-0.050,0.8437,1798.2
acc,-0.039,-0.011,0.8789,1799.1
acc,-0.027,-0.062,0.8710,1800.0
comp,357.88,-34.04,642.16,1803.4
acc,-0.027,-0.050,0.8945,1804.3
acc,-0.054,-0.027,0.8906,1805.2
acc,-0.031,-0.007,0.8789,1806.1
acc,-0.031,-0.007,0.8789,1807.0
gyr,-6,63,1,1809.2
acc,-0.039,-0.027,0.9062,1810.1
acc,-0.082,-0.046,0.9101,1811.0
acc,-0.082,-0.046,0.9101,1811.9
acc,-0.046,0.0078,0.9179,1812.8
gyr,-4,67,5,1814.7
acc,-0.031,-0.042,0.8789,1815.6
acc,-0.011,-0.027,0.8789,1816.5
acc,-0.023,0.0078,0.8515,1817.4
acc,-0.074,-0.042,0.9375,1818.4
acc,-0.074,-0.042,0.9375,1819.3
comp,357.88,-34.96,642.16,1822.7
acc,-0.046,-0.027,0.8867,1823.6
acc,-0.035,-0.027,0.9101,1824.5
acc,-0.035,-0.027,0.9101,1825.4
acc,-0.031,-0.027,0.8828,1826.3
gyr,-8,66,4,1828.4
acc,-0.027,-0.039,0.8906,1829.4
acc,-0.027,-0.039,0.8906,1830.3
acc,-0.011,-0.019,0.8828,1831.2
acc,-0.011,-0.015,0.8867,1832.1
gyr,-4,65,5,1833.9
acc,-0.031,-0.035,0.875,1834.9
acc,-0.031,-0.007,0.9414,1835.8
acc,-0.042,-0.007,0.8476,1836.7
acc,-0.039,-0.011,0.8906,1837.6
acc,-0.039,-0.011,0.8906,1838.6
comp,357.88,-34.96,642.16,1841.9
acc,-0.031,-0.035,0.8906,1842.9
acc,-0.046,-0.031,0.8554,1843.8
acc,-0.046,-0.031,0.8554,1844.7
acc,-0.042,-0.023,0.9375,1845.6
gyr,-6,62,7,1847.7
acc,-0.039,-0.031,0.875,1848.6
acc,-0.039,-0.031,0.875,1849.5
acc,-0.019,-0.035,0.8554,1850.4
acc,-0.062,-0.039,0.8867,1851.4
gyr,-4,67,2,1853.3
acc,-0.023,-0.027,0.8671,1854.2
acc,0.0156,-0.046,0.8906,1855.2
acc,0.0117,-0.023,0.8476,1856.1
acc,0.0117,-0.023,0.8476,1857.0
acc,-0.007,-0.023,0.9023,1857.9
comp,357.88,-34.96,642.16,1861.3
acc,-0.031,-0.023,0.8867,1862.2
acc,-0.019,-0.007,0.8632,1863.2
acc,-0.019,-0.007,0.8632,1864.1
acc,-0.015,-0.019,0.8710,1865.0
gyr,-8,63,2,1866.7
acc,-0.031,-0.015,0.8789,1867.6
acc,-0.039,-0.054,0.8867,1868.5
acc,-0.050,-0.019,0.8906,1869.4
acc,-0.050,-0.019,0.8906,1870.3
gyr,-7,64,4,1872.3
acc,-0.023,-0.035,0.8945,1873.3
acc,-0.039,-0.027,0.8867,1874.2
acc,-0.039,-0.027,0.8867,1875.1
acc,-0.019,-0.019,0.8476,1876.0
acc,-0.031,-0.015,0.8515,1876.9
comp,357.88,-34.96,642.16,1880.3
acc,-0.046,-0.019,0.8789,1881.3
acc,-0.039,-0.031,0.9218,1882.2
acc,-0.039,-0.011,0.8671,1883.1
acc,-0.023,-0.011,0.9179,1884.0
gyr,-6,64,8,1886.5
acc,0.0,-0.039,0.8710,1887.4
acc,0.0,-0.039,0.8710,1888.3
acc,-0.066,-0.039,0.8984,1889.3
acc,-0.019,-0.015,0.8632,1890.2
gyr,-8,63,6,1892.0
acc,-0.039,-0.019,0.875,1892.9
acc,-0.042,-0.019,0.8789,1893.8
acc,-0.023,0.0,0.8476,1894.7
acc,-0.023,0.0,0.8476,1895.6
acc,-0.039,-0.070,0.8789,1896.6
comp,357.88,-34.04,641.24,1900.0
acc,-0.031,-0.035,0.8789,1900.9
acc,-0.031,-0.035,0.8789,1901.8
acc,-0.023,-0.050,0.8906,1902.8
acc,-0.027,-0.011,0.8671,1903.7
gyr,-6,63,4,1905.5
acc,-0.035,-0.023,0.875,1906.4
acc,-0.039,0.0117,0.9062,1907.4
acc,-0.042,0.0039,0.875,1908.3
acc,-0.042,0.0039,0.875,1909.2
gyr,-8,63,3,1910.9
acc,-0.050,-0.019,0.9023,1911.8
acc,-0.050,-0.019,0.9023,1912.7
acc,-0.070,-0.011,0.9375,1913.6
acc,-0.023,-0.031,0.9101,1914.5
acc,-0.023,-0.023,0.9101,1915.4
comp,357.88,-34.04,641.24,1918.8
acc,-0.039,-0.035,0.8867,1919.9
acc,-0.027,-0.050,0.9062,1920.8
acc,-0.019,-0.011,0.8242,1921.7
acc,-0.031,0.0,0.8789,1922.6
gyr,-9,65,3,1925.4
acc,-0.035,-0.042,0.875,1926.3
acc,-0.035,-0.042,0.875,1927.3
acc,-0.046,-0.054,0.9062,1928.2
acc,-0.011,-0.035,0.9023,1929.1
gyr,-7,63,5,1930.8
acc,-0.023,-0.031,0.8828,1931.8
acc,-0.027,0.0234,0.8906,1932.7
acc,-0.078,0.0429,0.9375,1933.6
acc,-0.078,0.0429,0.9375,1934.5
acc,-0.042,-0.015,0.8789,1935.4
comp,357.88,-34.04,641.24,1939.3
acc,-0.035,-0.035,0.8906,1940.4
acc,-0.039,-0.019,0.9257,1941.3
acc,-0.031,-0.019,0.8789,1942.2
acc,-0.031,-0.019,0.8789,1943.2
gyr,-9,64,4,1945.1
acc,-0.027,-0.023,0.875,1946.0
acc,-0.007,0.0,0.8671,1946.9
acc,-0.007,0.0,0.8671,1947.8
acc,-0.035,-0.054,0.8789,1948.7
gyr,-10,62,0,1950.4
acc,-0.039,-0.027,0.8789,1951.4
acc,0.0078,-0.031,0.9335,1952.3
acc,0.0039,-0.027,0.8828,1953.2
acc,0.0039,-0.027,0.8828,1954.1
acc,-0.054,-0.035,0.875,1955.0
comp,356.96,-32.2,642.16,1958.4
acc,-0.031,-0.027,0.8789,1959.4
acc,-0.007,-0.019,0.8789,1960.3
acc,-0.007,-0.019,0.8789,1961.3
acc,-0.035,-0.035,0.8867,1962.2
gyr,-6,62,8,1964.1
acc,-0.027,-0.011,0.8984,1965.0
acc,0.0078,-0.027,0.8867,1965.9
acc,-0.015,-0.027,0.875,1966.8
acc,-0.027,-0.046,0.8671,1967.7
gyr,-5,67,5,1969.4
acc,-0.031,-0.042,0.875,1970.4
acc,-0.023,-0.066,0.8945,1971.3
acc,-0.023,-0.066,0.8945,1972.2
acc,-0.035,-0.062,0.8671,1973.1
acc,-0.027,-0.011,0.8710,1974.0
comp,356.96,-32.2,642.16,1978.4
acc,-0.023,-0.015,0.8789,1979.5
acc,-0.023,-0.042,0.8320,1980.5
acc,-0.023,0.0234,0.875,1981.4
acc,-0.035,-0.011,0.8984,1982.3
gyr,-4,63,7,1984.2
acc,-0.023,-0.039,0.8789,1985.2
acc,-0.058,-0.015,0.8945,1986.1
acc,-0.039,-0.050,0.8710,1987.0
acc,-0.039,-0.050,0.8710,1987.9
gyr,-7,67,4,1989.6
acc,-0.042,-0.027,0.8828,1990.5
acc,-0.042,-0.027,0.8828,1991.4
acc,-0.027,0.0078,0.8789,1992.4
acc,-0.050,0.0156,0.9296,1993.3
acc,-0.082,-0.015,0.9140,1994.2
comp,356.96,-32.2,642.16,1998.0
acc,-0.035,-0.019,0.8593,1999.1
acc,-0.035,-0.019,0.8593,2000.0
acc,-0.046,-0.015,0.8906,2000.9
acc,0.0234,-0.058,0.8984,2001.9
gyr,-9,65,5,2003.6
acc,-0.031,-0.035,0.8828,2004.5
acc,-0.035,-0.023,0.9062,2005.4
acc,0.0078,-0.023,0.8945,2006.3
acc,0.0078,-0.023,0.8945,2007.2
gyr,-7,62,6,2009.0
acc,-0.027,-0.031,0.8945,2009.9
acc,-0.035,-0.035,0.8593,2010.8
acc,-0.031,-0.035,0.8476,2011.7
acc,-0.042,-0.007,0.8828,2012.6
acc,-0.042,-0.007,0.8828,2013.6
comp,356.96,-32.2,642.16,2016.9
acc,-0.035,-0.035,0.8828,2017.9
acc,-0.023,0.0117,0.9023,2018.8
acc,-0.027,0.0,0.8828,2019.7
acc,-0.027,0.0,0.8828,2020.6
gyr,-7,62,3,2022.6
acc,-0.035,-0.031,0.8828,2023.6
acc,-0.050,-0.007,0.9023,2024.5
acc,-0.050,-0.007,0.9023,2025.4
acc,-0.050,-0.019,0.9335,2026.3
gyr,-4,63,6,2028.1
acc,-0.031,-0.031,0.8828,2029.0
acc,-0.031,0.0156,0.8984,2029.9
acc,-0.007,0.0078,0.9023,2030.8
acc,-0.007,0.0078,0.9023,2031.7
acc,0.0078,-0.035,0.8984,2032.7
comp,356.96,-32.2,642.16,2036.1
acc,-0.039,-0.027,0.8906,2037.0
acc,-0.019,-0.015,0.9257,2038.0
acc,-0.019,-0.015,0.9257,2038.9
acc,-0.046,-0.031,0.9062,2039.8
gyr,-4,67,2,2041.5
acc,-0.027,-0.039,0.8710,2042.4
acc,0.0468,-0.046,0.8437,2043.3
acc,0.0039,-0.015,0.7851,2044.2
acc,-0.007,-0.023,0.8828,2045.2
gyr,-6,62,3,2046.8
acc,-0.035,-0.035,0.8789,2047.8
acc,-0.035,-0.035,0.8789,2048.7
acc,0.0078,-0.027,0.875,2049.6
acc,-0.042,-0.011,0.8632,2050.5
acc,-0.039,-0.023,0.9101,2051.4
comp,356.96,-32.2,642.16,2055.7
acc,-0.031,-0.039,0.8867,2056.7
acc,0.0117,-0.015,0.8710,2057.6
acc,-0.035,-0.015,0.8476,2058.5
acc,-0.035,-0.015,0.8476,2059.5
gyr,-5,63,5,2061.2
acc,-0.035,-0.031,0.8789,2062.1
acc,-0.042,-0.066,0.8828,2063.0
acc,-0.015,-0.039,0.8945,2063.9
acc,-0.027,-0.015,0.9023,2064.8
gyr,-9,64,3,2066.6
acc,-0.039,-0.027,0.8789,2067.6
acc,0.0351,-0.046,0.8984,2068.5
acc,0.0351,-0.046,0.8984,2069.4
acc,0.0156,-0.035,0.8828,2070.3
acc,-0.027,-0.007,0.8085,2071.2
comp,356.96,-32.2,642.16,2076.1
acc,-0.039,-0.027,0.8867,2077.0
acc,-0.027,-0.015,0.8828,2077.9
acc,-0.027,-0.015,0.8828,2078.8
acc,-0.027,-0.007,0.8828,2079.8
gyr,-8,60,7,2081.5
acc,-0.042,-0.027,0.8906,2082.5
acc,-0.027,0.0156,0.8789,2083.4
acc,-0.054,-0.027,0.9101,2084.3
acc,-0.031,-0.031,0.8710,2085.2
gyr,-4,61,1,2086.9
acc,-0.031,-0.042,0.8867,2087.8
acc,-0.031,-0.042,0.8867,2088.7
acc,-0.035,-0.027,0.8671,2089.7
acc,-0.042,-0.015,0.8476,2090.6
acc,-0.054,0.0078,0.8593,2091.5
comp,356.96,-34.04,642.16,2095.5
acc,-0.031,-0.042,0.8906,2096.4
acc,-0.070,-0.019,0.8867,2097.4
acc,-0.070,-0.019,0.8867,2098.3
acc,-0.035,-0.054,0.8632,2099.2
gyr,-7,63,9,2101.1
acc,-0.031,-0.039,0.8906,2102.0
acc,-0.039,-0.031,0.8632,2102.9
acc,-0.039,-0.019,0.8359,2103.8
acc,-0.058,-0.035,0.8007,2104.7
gyr,-9,66,7,2106.8
acc,-0.039,-0.035,0.8789,2107.8
acc,-0.046,0.0273,0.875,2108.7
acc,-0.035,-0.011,0.8671,2109.6
acc,-0.035,-0.011,0.8671,2110.5
acc,-0.050,-0.023,0.8828,2111.4
comp,356.96,-34.04,642.16,2115.1
acc,-0.015,-0.046,0.875,2116.0
acc,-0.046,-0.093,0.8945,2116.9
acc,-0.046,-0.093,0.8945,2117.8
acc,-0.031,-0.007,0.8671,2118.8
gyr,-8,64,7,2120.6
acc,-0.019,-0.042,0.8671,2121.5
acc,-0.015,-0.039,0.8867,2122.5
acc,-0.035,-0.074,0.8945,2123.4
acc,-0.019,-0.019,0.9257,2124.3
gyr,-7,64,8,2126.4
acc,-0.023,-0.035,0.8828,2127.3
acc,-0.042,-0.027,0.8984,2128.3
acc,0.0078,-0.035,0.8828,2129.2
acc,-0.039,-0.046,0.8710,2130.1
acc,-0.039,-0.046,0.8710,2131.1
comp,356.96,-34.04,642.16,2134.7
acc,-0.027,-0.039,0.8789,2135.7
acc,-0.078,-0.039,0.9101,2136.6
acc,-0.050,-0.097,0.8945,2137.5
acc,-0.050,-0.097,0.8945,2138.4
gyr,-7,64,0,2140.2
acc,-0.027,-0.042,0.8789,2141.1
acc,-0.027,-0.042,0.8789,2142.0
acc,-0.050,0.0078,0.9335,2142.9
